,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_member,max_limit,spcl_cnd,options
33,010300100251,국민은행,KB국민첫재테크예금,만18세 이상 ~ 만38세 이하 개인,20000000,"우대이율 최고 연0.2%p
 - 첫예금 우대이율 : 연0.1%p
 - 패키지 우대이율 : 연0.1%p
 - 급여이체 우대이율 : 연0.1%p
 - 재예치 우대이율 : 연0.1%p","[['6', '복리', 0.6, 0.8], ['12', '복리', 0.7, 0.9]]"
34,010300100293,국민은행,KB골든라이프연금우대예금,실명의 개인 또는 개인사업자,,"우대이율 최고 연0.2%p
 - 연금실적 우대이율 : 연0.1%p
 - 한가족사랑 우대이율 : 연0.1%p","[['12', '복리', 0.75, 0.95]]"
35,010300100312,국민은행,KB Young Youth 증여예금,실명의 개인 또는 개인사업자,,"우대이율 최고 연0.1%p
 - 체크카드 우대이율 : 연0.1%p","[['12', '복리', 0.75, 0.85]]"
36,200-0037-15,신한은행,미래설계 크레바스 연금예금,제한없음,,해당사항없음,"[['12', '단리', 0.9, 0.9], ['24', '단리', 1, 1], ['36', '단리', 1.1, 1.1]]"
37,200-0135-12,신한은행,쏠편한 정기예금,만14세이상 개인고객,,해당사항없음,"[['6', '단리', 0.5, 0.85], ['12', '단리', 0.6, 1], ['24', '단리', 0.7, 1.1], ['36', '단리', 0.8, 1.2]]"
38,200-0136-01,신한은행,신한 S드림 정기예금,제한없음,,해당사항없음,"[['6', '단리', 0.5, 0.5], ['12', '단리', 0.6, 0.6], ['24', '단리', 0.7, 0.7], ['36', '단리', 0.8, 0.8]]"
39,10-003-1225-0001,농협은행주식회사,NH왈츠회전예금 II,개인,,"1. 급여이체실적(50만원 이상)이 있는 경우 : 0.1%p
2. 트리플 회전 우대이율 :  4회전기간부터 0.1%p","[['6', '단리', 0.65, 0.75], ['12', '단리', 0.85, 0.95]]"
40,10-003-1267-0003,농협은행주식회사,e-금리우대 예금,개인,300000000,"1. NH채움카드 이용실적 100만원 : 0.1%p
2. 추천계좌와 피추천계좌에 각각 : 0.1 %p, 최대 0.3%p
※ 추천 및 피추천 횟수 5회","[['12', '단리', 0.75, 1.15]]"
41,10-003-1335-0003,농협은행주식회사,NH농심-농부의마음 정기예금,개인,500000000,"※ 우대금리 최대한도 : 0.4%p
1. NH채움카드 우대조건(農心실적) 월평균 15만원 이상 : 0.2%p
2. 「NH농심-농부의마음적금」 보유 : 0.2%p
3.  3개월이상 농협은행 급여이체 : 0.2%p","[['12', '단리', 0.6, 1], ['24', '단리', 0.65, 1.05], ['36', '단리', 0.7, 1.1]]"
42,10,하나은행,주거래정기예금,"실명의 개인
또는 개인사업자",50000000,"최대 연 0.5% 우대
1. 급여,아파트관리비,4대연금,카드가맹점대금,하나카드 또는 결제대금 합계 30만원이상, 자동이체 중 한가지 이체 시 연 0.2%, 두가지 이상 이체 시 연 0.3%
2.신규 익월부터 3개월 동안 본인 당행 입출금이 자유로운 예금 평균잔액
 -1백만원~5백만원 미만 연0.1% , -5백만원 이상연0.2%","[['12', '단리', 0.65, 1.15]]"
43,7,하나은행,N플러스 정기예금,"실명의 개인
또는 개인사업자",30000000,"최대 연 0.3% 우대
- 첫거래고객 연 0.1%
- 스마트폰뱅킹이체 2회 이상 연 0.1%
- 청약종합저축 신규 가입 연 0.1%
- 아파트관리비신규 이체후 이체실적 보유 연 0.1%
- 급여이체신규 등록 후 이체 실적 보유 : 연 0.1%
- 하나멤버스앱 1회이상 로그인 연 0.1%","[['6', '단리', 0.5, 0.8], ['12', '단리', 0.65, 0.95], ['24', '단리', 0.7, 1], ['36', '단리', 0.75, 1.05]]"
44,8,하나은행,리틀빅 정기예금,"실명의 개인
또는 개인사업자
(1인 1계좌)",5000000,"최대 연 0.8% 우대
- 예금 신규일에 하나카드 체크카드 신규 또는 인터넷뱅킹,스마트폰뱅킹,고객센터 가입시 전체 예금중 1백만원에 대해 연 0.5%
- 예금 가입후 1년이내(만기 전월까지)에 하나카드(체크카드포함)를 100만원이상 당행 계좌로 결제하는 경우 전체금액에 대해 연0.3%","[['12', '단리', 0.5, 1.3]]"
45,9,하나은행,하나원큐 정기예금,"실명의 개인
또는 개인사업자",30000000,"최대 연 0.4% 우대 
1. 우대금리  최대 연 0.2%
①가입 전 상품 서비스 마케팅 동의 항목 모두 동의하고
만기 해지 까지 유지시 연 0.1% 
② 당행 오픈뱅킹 서비스로 당행 출금 동의 및 다른 은행계좌에서 오픈뱅킹을 통해 신규시 연 0.1%
2.오픈뱅킹 특별금리 연 0.2% (1조 한도)
 우대금리 ②을 충족하는 경우 추가","[['12', '단리', 0.8, 1.2]]"
46,01013000110000000000,주식회사 케이뱅크은행,주거래우대 정기예금,만 17세 이상 실명의 개인 및 개인사업자,1000000000,"급여이체, 체크카드 고객에게 우대금리 제공 (최고 연 0.4%)","[['6', '단리', 0.8, 1.2], ['12', '단리', 1.1, 1.5], ['24', '단리', 1.15, 1.55], ['36', '단리', 1.2, 1.6]]"
47,01013000110000000001,주식회사 케이뱅크은행,코드K 정기예금,만 17세 이상 실명의 개인 및 개인사업자,1000000000,우대조건 없음,"[['6', '단리', 1, 1], ['12', '단리', 1.3, 1.3], ['24', '단리', 1.35, 1.35], ['36', '단리', 1.4, 1.4]]"
48,10120104400021,수협은행,"사랑해나누리예금
(만기일시지급식)","제한없음
(단, 게시기준은 개인 기준)",,"* 최대 우대금리 : 0.1%
 - 기부금 납부자
 - 헌혈증서 보유자
 - 자원봉사증보유자
 - 어업종사자, 어업인
※ 단위는 : 연%p","[['6', '단리', 0.7, 0.8], ['12', '단리', 0.9, 1]]"
49,10120110400011,수협은행,"Sh평생주거래우대예금
(만기일시지급식)",실명의 개인,,"* 최대우대금리 : 0.4%
1. 거래고객우대금리 : 최대0.1% (신규시) 
 -최초예적금고객/재예치/장기거래 각 0.05% 
2. 거래실적우대금리 : 최대0.3% (만기시)
 -급여,연금이체등/수협카드결제/공과금이체등 각0.1%
※단위:연%p","[['12', '단리', 1.05, 1.45]]"
50,10120114300011,수협은행,"Sh해양플라스틱Zero!예금
(만기일시지급식)",실명의 개인,500000000,"* 최대우대금리:0.35%
1. 해양플라스틱감축서약 : 0.1% (신규시) 
2. 봉사활동 또는 상품홍보 : 0.15% (만기시) 
3. 입출금통장 최초신규 : 0.1% (만기시)
4. 자동이체 출금실적 : 0.1% (만기시)
 - 수협신용카드 / 당행 펀드 또는 적금 / 수협체크카드
※단위:연%p","[['6', '단리', 0.7, 1.05], ['12', '단리', 0.9, 1.25]]"
51,10120114700011,수협은행,헤이(Hey)정기예금,실명의 개인,50000000,없음,"[['6', '단리', 0.95, 0.95], ['12', '단리', 1.2, 1.2]]"
52,10-01-20-388-0002,주식회사 카카오뱅크,카카오뱅크 정기예금,만 17세 이상의 실명의 개인,,※복잡한 우대조건 없이 가입가능한 정기예금,"[['6', '단리', 0.8, 0.8], ['12', '단리', 1, 1], ['24', '단리', 1.05, 1.05], ['36', '단리', 1.1, 1.1]]"
